Roles,Skills
Data analyst,python
Data analyst,pandas
Data analyst,numpy
Data analyst,data cleaning
Data analyst,EDA
Data analyst,Sql
Data analyst,Microsoft excel
Data analyst,Data analysis
Data analyst,Data visualization
Data analyst,statistics
Data analyst, hypothesis testing
Data analyst,probability
ML intern,python
ML intern,numpy
ML intern,pandas
ML intern,sckit-learn
ML intern,data preprocessing
ML intern,feature engineering
ML intern,model evaluation
ML intern,machine learning algorithms
ML intern,deep learning
Software developer intern,c
Software developer intern,c++
Software developer intern,python
Software developer intern,oops
Software developer intern,data structures
Software developer intern,algorithms
Software developer intern,problem solving
Software developer intern,git
Software developer intern,github
Software developer intern,dbms
Software developer intern,sql
web developer,html
web developer,css
web developer,javascript
web developer,react.js
web developer,node.js
web developer,express.js
web developer,REST APIs
web developer,git
web developer,github
